author,content,retweet,new_june_2018
kateritterrrr,Riff Raff  #PresCandidatesBetterThanTrump http://t.co/1HAOROLfHw,1,0
mandy9stevens,Why wasn't the roommate arrested if he knew about #DylannRoof's plan for 6 months and he also seemingly has Confederate sympathies?,1,0
mandy9stevens,If #DylannRoof had been planning this for 6 months & the roommate knew it & didn't say anything: Why isn't he locked up too? #WhitePrivilege,1,0
mandy9stevens,#DylannRoof is now the Trending top topic in US. Favorited images@  Visit http://t.co/sw90UkQfRf http://t.co/icUATuBLzo,1,0
mandy9stevens,"#DylannRoof is part of the KKK terrorist group, as are many people in that area. Why haven't the media mentioned this? #CharelstonShooter",1,0
kenzdonovan,Optimus would be better than all the candidates in both parties @ClayPerryMusic. #PresCandidatesBetterThanTrump http://t.co/Rvy55uRVlr,1,0
kenzdonovan,#PresCandidatesBetterThanTrump Funniest Wrong Number Texts  http://t.co/IIcgFBVU8A,1,0
msheathowens,"#DylannRoof is a ""Real American.""",1,0
msheathowens,If #DylannRoof had been planning this for 6 months & the roommate knew it & didn't say anything: Why isn't he locked up too? #WhitePrivilege,1,0
msheathowens,I see people saying â€?DylannRoof wasn't part of an organization so he can't be terroristâ€? Ok. So the Tsarnaev brothers were from which org?,1,0
msheathowens,"Before anything was known, Republicans like @NikkiHaley emphasized that #DylannRoof's motive will not be known http://t.co/YKkipGt1DF",1,0
msheathowens,"Is there a GoFundMe page for #DylannRoof yet, or will his Aryan brothers rob a few banks to fund his defense?",1,0
carriethornthon,U can call #DylannRoof  whatever u want but to me he is a terrorist & no one is going to make me feel differently. http://t.co/NMVleUe9vM,1,0
carriethornthon,"Is there a GoFundMe page for #DylannRoof yet, or will his Aryan brothers rob a few banks to fund his defense?",1,0
clydedaws0n,#DylannRoof is now the Trending top topic in US. Favorited images@  Visit http://t.co/sw90UkQfRf http://t.co/icUATuBLzo,1,0
clydedaws0n,I believe people w/ mental illnesses exist. I also believe racism exists #DylannRoof was well aware of what he was doing; don't mix these up,1,0
clydedaws0n,The #DylannRoof #RainbowDash photograph was NOT photo shopped http://t.co/ofeS6T7TUE,1,0
evewebster373,The #GrindDaily Team  #PresCandidatesBetterThanTrump http://t.co/go6YnJb9Br,1,0
prettylaraplace,#PresCandidatesBetterThanTrump Baby Born Without Nose Is Very Cute   http://t.co/7nZAw0SPDj,1,0
cynthiamhunter,Riff Raff  #PresCandidatesBetterThanTrump http://t.co/1HAOROLfHw,1,0
jacquelinisbest,The #GrindDaily Team  #PresCandidatesBetterThanTrump http://t.co/go6YnJb9Br,1,0
jacquelinisbest,#PresCandidatesBetterThanTrump this lady liberty float my class made sophomore year http://t.co/GgYaUx9Kgs,1,0
jacquelinisbest,Optimus would be better than all the candidates in both parties @ClayPerryMusic. #PresCandidatesBetterThanTrump http://t.co/Rvy55uRVlr,1,0
arm_2_alan,Nevada ranked second in nation for private job growth  #business #news,1,0
arm_2_alan,ï¿½ï¿½ Islam's Hatred for the Christian Cross \| PJ Media http://t.co/c61TU8D84G,1,0
politweecs,CanadianPrimeMinisterHarper says federal government will fund 1/3ofcost of TorontoMayorJohn Tory'sSmartTrack proposal http://t.co/sUJwGXGl40,0,0
arm_2_alan,How Italy Is Quietly Working to Restore EU-Russia Ties http://t.co/Kbque2B2WC http://t.co/sK9Qj2Qeqi,1,0
moneyform,Anybody who access to a lab-top can make money working from their comforts online. @harveygreen6 @zaynftmilanos http://t.co/K22dfwfHhH,0,1
moneyform,...put into in this society can cause tough choices. Such as: only being able to make money certain ways which might not be legal or whatnot,0,1
moneyform,There are a lot of things you can do to make money on the Internet. @andrewkueneman @OzzieR89 @BileNasha @__Spanishx http://t.co/vMbYTd7nAk,0,1
moneyform,"Can't wait to make money, settle down, and have a family with someone I'm gonna call my best friend @BileNasha http://t.co/SWB63yPhZH",0,1
moneyform,Not into making friends rather make money @JaviB_killinemm @andrewkueneman @AnthonyNewcomb_ @brrrrrrrittney @ShitZone http://t.co/dewZ4zGTZi,0,1
moneyform,Summer: MAKE MONEY GET TURNT @ViicttorriaaM @AggreyJr @29VIOLA56 @DammitMichelle_ @Soso_Shooter @ApacheUS @Odion_vT http://t.co/K22dfwfHhH,0,1
chesplayschess,"Sounders Obafemi Martins, Clint Dempsey could miss significant time  #sports",1,0
guillnavarrete,Longtime Tenants in Manhattan See an Effort to Push Them Out  #news,1,0
politweecs,#Senate #Democrats successfully block defense spending bill they've opposed due to sequestration caps http://t.co/Nv9hvSnjvJ,0,0
moneyform,I swear everyday I try to make money somehow and always end up doing it lol. #$tayHungry @KrisCarter_ @tanaecherry http://t.co/p0C0K3vos6,0,1
moneyform,Bitches really be scared to make money like!! @kayanacutie_ @1migo__ @RockyL21 @HePerfectThO @datmanticore @SadKolin http://t.co/tBtgGvIzhs,0,1
moneyform,Whoever came up with the concept that it takes money to make money was right . @1migo__ @stevenferazo @_danielkimm http://t.co/YG019VRhql,0,1
moneyform,"Go to college, play sports, be on TV, my senior year in college, go to the Draft, go pro, make money, then a family @HePerfectThO",0,1
moneyform,I find it funny how people would even sell their gaming identity to make money off kids LOL broke niggas! @EscobedoLK http://t.co/rii5gRUr8q,0,1
moneyform,To Stay In Winston And Make Money or Go To Baltimore? @CashN0Checks @loor__ @CarydashM @EscobedoLK @Litto_Mermaid http://t.co/YG019VRhql,0,1
moneyform,"I mean, I hate that I don't get signal at work bc I love my phone. But whatevs. Gotta make money. @Litto_Mermaid http://t.co/p0C0K3vos6",0,1
moneyform,Wake up we need to make money @pcyix @CashN0Checks @__berryjuice__ @sovereignsty @lish_t23 @kayanacutie_ @KeY_YoLo_ http://t.co/yE9rmVbSwp,0,1
moneyform,Can the government quit tryna make money and actually do its job?! Besides we voted you all in your spots anyway...right? #BlackLivesMatter,0,1
moneyform,Since vvip ticket ariana's concert is IDR 6.000.000 so i always think how to earn money for 1d's concert everyday @littlemalikx,0,1
moneyform,I need to come up with an idea. To earn money. @colorizedterror @xoenea @pcyix @FindingRusso @McelweeSiobhan @m_gozzy http://t.co/3NS9NHYm47,0,1
moneyform,Should have bet all to win today's round. Boom boom you make money day one. Bonus baby @CarydashM @littlemalikx http://t.co/EYgliYa82J,0,1
moneyform,This is usually meant their ability to make money on the backs of people who where at most considered 35 people. @datmanticore,0,1
moneyform,"Just joined Mary Kay, time to have fun and make money with makeup#marykay @Palmaria_96 @katie_burdette @diamond83 http://t.co/SWB63yPhZH",0,1
moneyform,Who's trying to make money writing essays? $60 per essay $20 more if you get an A lol @_Shortstuff_21 @lee_e_carlson http://t.co/uD1hcC6XG0,0,1
moneyform,People who want to make money with MPP hit me up I wanna throw some shows. I keep getting hit with BS. Hit me up! @edub270,0,1
moneyform,People out here joining the military not knowing they're just puppets of corrupt capitalists who make money off their death. @coochiedollaz,0,1
arm_2_alan,"My plan is a flat 14.5% tax on individuals, but goes even further by completely eliminating the workers tax. WATCH: https://t.co/A4qea61pn0",1,0
moneyform,Make money to spend money. @jaina_14 @Itskylee16 @tonystewart8 @laurennn_riley @Donnyd10 @Carlaray394 @chestnuthell http://t.co/kfRulmkZFr,0,1
moneyform,Can't believe that we were all born with passion to find who we are but now we only want to make money and neglect the our dreams.,0,1
moneyform,"Keep your head up_it's friday focus !!its a cash day,let's try to make money @Donnyd10 @Palmaria_96 @_Shortstuff_21 http://t.co/mPsnAupWJj",0,1
moneyform,Starting out to make money is the greatest mistake in life @tonystewart8 @jaina_14 @Anclrew_ @Cash1st_Tay @edub270 http://t.co/0gnh0LU5Jm,0,1
moneyform,Can I just be done with school already and make money? No? Oh k @Carlaray394 @coochiedollaz @LENism @A_Biggaveli http://t.co/vMbYTd7nAk,0,1
moneyform,"Bob Myers: ""Joe  Lacob  doesn't do this to make money. He wants to win."" @diamond83 @imbreetarded @cam1941 @nutsci http://t.co/1Cvn34ACqP",0,1
moneyform,The best way to make happy money is to make money your hobby and not your god. Scott Alexander :-o @Christine_9375 http://t.co/3NS9NHYm47,0,1
moneyform,Just tryna make money for my niggas and get money @SmoothLikeCream @Itsjust_SHENOAH @WithoutLimits_ @Ashleyjean31 http://t.co/SWB63yPhZH,0,1
moneyform,"Seems like mfs do not wanna make money, don't be the weed man if you gon be nappn on the trappn. @Entoxicated_ http://t.co/0gnh0LU5Jm",0,1
moneyform,"""Make money, it's all you have left to do"" @marlonv42 @ClaireWeigand1 @SmoothLikeCream @Christine_9375 @Ythegreatdiaz http://t.co/nlEVl0L8Ql",0,1
moneyform,In this business you make money when you buy not when you sell #thehobby @MRBenchwarmer @walter_ruizzzz @POOMA_TIPS http://t.co/rii5gRUr8q,0,1
moneyform,It's plenty of ways to make money but selling my body isn't one of them it's not hard to fill out a cute lil app or updating your resume,0,1
moneyform,"I want to be somebody. Have a career, do what I love, exercise, make money, have fun, but still have my best friend by my side all the way",0,1
moneyform,That's how you know people are trying to make money. For every party summer there is going to be a admissions fee @Thursday___,0,1
moneyform,"Otherwise we've reduced the web to ""make money by doing bad things to people"". @GoAwayStupidAI @realistdrizzy http://t.co/p0C0K3vos6",0,1
moneyform,This weekend I think I'm a just chill at the house and make money @DaRealNickG44 @LookmeeBieber @iamShenekaAdams http://t.co/dewZ4zGTZi,0,1
moneyform,Im just so pumped to finally have a job that's beneficial. I make money to help people become better and healthier versions of themselves,0,1
moneyform,Someone come in and tip me like $50. I need to make money and we're freaking slow @kayyy__10 @marlonv42 @Entoxicated_ http://t.co/SWB63yPhZH,0,1
moneyform,"Gabi: the whole time I was taking the ACT I was singing ""I like to make money..get turnt"" it was great. @m_gozzy http://t.co/aaQF2UmkMP",0,1
moneyform,But it takes money to make money @REALGorgeous_ @thebiebshugs @sargentbill19 @JNugent @miaestates @Em_PaN @iamBTH http://t.co/aaQF2UmkMP,0,1
moneyform,I dont sleep i make money ! @iamBTH @REALGorgeous_ @Collins_F3 @NatalyaYanis @sarachristina__ @partyatnicks http://t.co/0gnh0LU5Jm,0,1
moneyform,"Always going to be someone better than you. Don't get attached to anything, cause any moment you can get replaced. Keep it groovy make money",0,1
moneyform,Wanna make money be a divorce lawyer and move to utah @partyatnicks @Ktoebeats @_kathleenle @KenzieFiorillo http://t.co/p0C0K3vos6,0,1
moneyform,"#1 This customer today asked me why I'm single, so I simply replied w ""no time to focus on a nigga when I can make money'sfocus on Fam""",0,1
moneyform,Wish i could of went to dance tonight but hey gotta make money so i CAN dance this summer @RachelxMarie9 @LindaOyam http://t.co/SWB63yPhZH,0,1
moneyform,Idk if i can give up playing games or playing music until 2am just to make money @justakarp @TeAmo_Renee @hurrrdurrr http://t.co/EYgliYa82J,0,1
moneyform,"Everybody enjoying their summer and going on vacation and stuff, and I'm just over here working and trying to make money. @sargentbill19",0,1
moneyform,Ima still make money 's b on my shit w. or w.out friends..... hoes aint loyal-chris brown @brooksalexis57 @justakarp http://t.co/yE9rmVbSwp,0,1
moneyform,People obviously don't want to make money. Smfh @stayhigh500 @BankrollKdot_ @amelia_sharples @RachelxMarie9 http://t.co/iUW65FqWuK,0,1
moneyform,They say you've got to spend money to make money. Feel like there's some middle step I've been missing? @LindaOyam http://t.co/dewZ4zGTZi,0,1
moneyform,It's time to make money less excuses @BOSS_BOSA13 @johnoco27453655 @NintendoNando7 @Leah_Dawn14 @T_Beecrofty1995 http://t.co/vMbYTd7nAk,0,1
moneyform,Want to be successful want to make Money?..no scam...just give me our social and give me copy's of your passport and the keys to your house.,0,1
moneyform,I work in BR makn 23 a hr. My car in the shop! If my bm wanna let me use it to go make money to support bills and the kid it's good wit me,0,1
moneyform,"Time is money, When you take time you make money, So I'm taking time. @PierceHugh @AshimRaizada @__ttj__ @JonFrat http://t.co/kfRulmkZFr",0,1
moneyform,WE'LL MAKE MONEY SELLING YOUR HAIR @vintagelouist @PierceHugh @Dave_B_NY @HUNTERisBIZZY @JoshiesWorld @GeorgeGutowski http://t.co/3NS9NHYm47,0,1
moneyform,There is always a market that's main goal is to make money off those trying to be different. @Dave_B_NY @teterof http://t.co/mPsnAupWJj,0,1
moneyform,Can tell the film makers weren't just trying to make money off of a big name sequel..actually taking time 's giving folks their money's wort,0,1
moneyform,Make money till your heart stops @Mixedd_Beauty13 @ginazhou1 @umhiwhatsup @KentuckyDiane @musicbooksdrama @_ShayCole_ http://t.co/fEvVDYlFzs,0,1
moneyform,"All i do is ball, make money, and live #PlatinumGxng @__ttj__ @BadBrownCeeCee @Mixedd_Beauty13 @ClarkRowdy @Jonlou_ http://t.co/EYgliYa82J",0,1
moneyform,Why should I blog on #Tumblr when I can blog at Blogspot that allows you to make money using #Adsense by Google. But I have my own domain.,0,1
moneyform,Sometimes Bulls make money. Sometimes Bears make money. Pigs always get slaughtered. @GeorgeGutowski @PrettiSelf_made http://t.co/3NS9NHYm47,0,1
chesplayschess,"Judge rules Saints, Pelicans owner Benson is competent  #business #news",1,0
moneyform,How the hell you gonna be a dealer and say you gonna come through but never show up that's not a way to make money @uhhDylan,0,1
moneyform,"Maybe people should make business accounts is all I'm saying, I don't want to hate you for trying to make money, I get it ok. @Sara_Bdavis",0,1
moneyform,Have fun and make money. @questcalledtrey @Sara_Bdavis @uhhDylan @thecoreycross @thecleansock @money_savage__ @sarsij http://t.co/nlEVl0L8Ql,0,1
moneyform,I make money during the week and I make big boy money on the weekend! @Junelech @43MAUDIE_Ruby58 @SharrelWright http://t.co/EYgliYa82J,0,1
moneyform,ALL I want is to make money 's work out. @JhansiMKE @mexicvt @WESTFLORES @questcalledtrey @loudpaper @EpideMets http://t.co/EYgliYa82J,0,1
moneyform,"I just want to travel the world, Make Money, Make Connections, Make a Difference and Make Amazing Memories... @Ed__Words",0,1
moneyform,At least u get to make money. @mlfsooyoung @Junelech @Ed__Words @Abu_Arab23 @Ariii8D @liam_9788 @BaileyTincher http://t.co/6d2KLdIro3,0,1
moneyform,"No one can see only yourself believe money there, this called opportunity; most people believe can make money, that is bubble @ginazhou1",0,1
moneyform,I just wanna work hard make money and spend my rest of my life with the same person. @ayeitsjesssiee @Rolando_21_ http://t.co/kfRulmkZFr,0,1
moneyform,How does Starbucks make money with all these people sitting here charging their electronics with no drinks. @chatnat323,0,1
moneyform,"Hang with my brothers and make money, that's all I wanna do this summer. @FTHRJERM @ayeitsjesssiee @chatnat323 http://t.co/YG019VRhql",0,1
moneyform,Josh really tryna make money off my number @sweetjesus_ @Ayvee203 @Lexi_Bayb @FTHRJERM @iamswaggyp24 @TheRealJorge336 http://t.co/SWB63yPhZH,0,1
moneyform,Niggas wanna make money from me but im not even really making money from myself rapping wise . @Ayvee203 @gina_adela http://t.co/SWB63yxH89,0,1
moneyform,Right now all I'm trying to do is make money for college and have some fun. @CooleySmoothie @chubbybunnie98 @JGufffee http://t.co/vMbYTd7nAk,0,1
moneyform,Dont do it jihyuk...u cant...and literally u cant cuz he is already dead...lol but still u cant earn money this way...she is coming for u,0,1
moneyform,Trailer for The Perfect Guy.. Lowkey Hollywood realizing that black movies without slaves 's servants can make money after Empire's success,0,1
moneyform,You have the guile to pretend to be my friend to make money!?! @teterof @CooleySmoothie @impretty_petty @sweetjesus_ http://t.co/dewZ4zGTZi,0,1
moneyform,"I could be like Cinderella, sing, then just ride on dragon and leave. no prince will chase me, and I just make money for my dragon,hahaha",0,1
moneyform,The fact that I gotta' spend money to make money bitter sweet @_DaRonTheGreat @mlfsooyoung @_kellyKALE @JhansiMKE http://t.co/uD1hcC6XG0,0,1
moneyform,Brian Campbell's amateur status would be more impressive if he wasn't older than Justin Spieth. Turn pro and make money you lazy millennial.,0,1
moneyform,I don't want to work just to make money to live. I don't want that @shayannetx @MystiqueWanderr @Jamieee__xo @F_WORD_ http://t.co/6d2KLdIro3,0,1
moneyform,How y'all got time to sit on here and throw shots at somebody all day? Go make money or sum @xoxo_erinmajor @mareefeb http://t.co/1Cvn34ACqP,0,1
moneyform,I'm still gonna make money regardless who cares lol @cluelessvibe @TheKidCrafty @judyweiniger @N_Paulman @JustPhilly_ http://t.co/EYgliYa82J,0,1
moneyform,"Also if it could stop raining so I can make money, that'd be nice @N_Paulman @cluelessvibe @LightDuhh @Mouth_Proper_ http://t.co/mPsnAupWJj",0,1
moneyform,Smoke dope and make money...dats all I kno #TruShyt @JustPhilly_ @sheisNoraZaneta @CuzImElie @smcroft @nnnnyre http://t.co/0z9rbLPqxa,0,1
moneyform,Work is slow i wish it would pick up im ready to make money @LightDuhh @prettycooldude4 @holarequena688 @4or3ign http://t.co/fEvVDYlFzs,0,1
guillnavarrete,"Bad form: #BernieSanders held a loud rally Thursday, next to solemn vigil #PrayForCharleston  http://t.co/Pt75e1BiJT http://t.co/CWPvQLgKSm",1,0
moneyform,They all try to be fake and want to be your best friend when you start to make money. @TheKidCrafty @LV_4rmTheBeach http://t.co/p0C0K3vos6,0,1
moneyform,Maya is telling Beautii the truth #cuttingitintheatl all she wanted to do was make money @sheisNoraZaneta @BuberineMC http://t.co/tBtgGvIzhs,0,1
chesplayschess,Hijacked tanker Orkim Harmony being rerouted to Indonesia: KUALA LUMPUR (Reuters) - The hijacked oil tanker Orkim Harmon...  #world #news,1,0
moneyform,Icd10 promoted by 3M coders and the rest of the hit industry as a way to make money . THE CORRUPT POLITICIANS LIKE THE DONATIONS THEY MAKE.,0,1
moneyform,'- bad bvtch make money need somebody too call ya up when ya feel lonely ? or put it on ya real good when ya want it @nnnnyre',0,1
moneyform,I used to hate working weekends but now that we have them off id rather just work and make money #gettinold @HunterSinkler,0,1
moneyform,If I could nerd out about books and earn money doing it then I would be set for life. @holacherrycola @Chloey_Flirt http://t.co/K22dfwfHhH,0,1
moneyform,"F*ck Love , Make Money #Law @LV_4rmTheBeach @holacherrycola @ashzE_ @capri8ight @hirst_jh @_ShaniceSade @14MATTIE87 http://t.co/kfRulmkZFr",0,1
moneyform,"I will be online soon, just been looking after this little guy, he needed his mummy, but mummy needs to earn money to look after him :P",0,1
moneyform,I don't even care what I do this summer honestly I just wanna work a lot and make money @haileyglow2 @CLSimon539 http://t.co/3NS9NHYm47,0,1
moneyform,"According to Lilli i'm magical, i've been trying to make money fall from the sky for 20 minutes now and nothing. @FearlessVeteran",0,1
moneyform,If I could sleep all day everyday and make money I would @Excuse_HerFLAWS @Dowie_11631 @dadssalad @KimMarcumTexas http://t.co/yE9rmVbSwp,0,1
moneyform,"I should try harder to make money in lineplay, i got to 11k recently but its not enough to buy the denim polkadot set... @purupurple",0,1
moneyform,I wonder if you can actually make money online @royalsweeknd @fmiller574 @mayarosehuthert @plottedgarden @CoachHarlow http://t.co/uD1hcC6XG0,0,1
moneyform,I love a guy that wants to make money @Jannelynne @StillGravity @AsiaRedd123 @BigOnAnime @IDontClaimHoes @khandamon http://t.co/0gnh0LU5Jm,0,1
moneyform,Just wanna take care of my baby in make money @Dowie_11631 @Excuse_HerFLAWS @fijidolan @purupurple @jamaicanzack http://t.co/dewZ4zGTZi,0,1
moneyform,Me and my nigga can make money together tho @Fuuck_yooux3 @royalsweeknd @EMCElijah @Ghozt_God_ @Dont_BotherRaj http://t.co/0z9rbLPqxa,0,1
moneyform,"WTF I wanna make money off a song that just goes ""Versace Versace Versace Versace Versace "" @GabyTheCatLady http://t.co/YG019VRhql",0,1
moneyform,I Just Wanna Travel W. my Family 's Make Money. A Peaceful Life W. The People I Love The Most @AsiaRedd123 http://t.co/0z9rbLPqxa,0,1
moneyform,Internet Business Ideas to Make Money Online...rhSZq @WesleyCarter17 @Jannelynne @phil_liptorres @GabyTheCatLady http://t.co/mPsnAupWJj,0,1
moneyform,How you gon raise a child when you cant even earn money? @_aikia @WesleyCarter17 http://t.co/rii5gRUr8q,0,1
moneyform,So like is it possible to not work but make money? @RileyGasque @CHANDRA_CARNEY5 @HunterSinkler @haileyglow2 http://t.co/vMbYTd7nAk,0,1
moneyform,"I dont do roofing anymore but if i had to do it again i would, no doubt i aint scared to get dirty to make money @dat772doe",0,1
moneyform,"If any Los Angeles producers are looking for new talent to work with . Hit me up and let's make deals, hits and let's make money.",0,1
moneyform,Sad you think u need slaves to make you rich ... You're obviously pretty #DumbPeople can't make money n e other way @ArcBroadcaster,0,1
moneyform,"""I'm trying to earn money for college."" ""Your mom goes to college."" @Kris_Bobb @JJayanthini http://t.co/iUW65FqWuK",0,1
moneyform,It's funny how we do a job something we hate so much and motivated to go just to earn money #sadlife #cantbuymoney @JJayanthini,0,1
moneyform,The only thing the government cares about is money. as long as they make money theyre happy @biscy81 @FearlessVeteran http://t.co/0gnh0LU5Jm,0,1
moneyform,Don't make money and not reinvi it smh @ThePinkBeaut @Kris_Bobb http://t.co/yE9rmVbSwp,0,1
moneyform,"Screw having a summer, I'd like to sleep and make money instead. @AllenAlmario @juanisgone @VintageKenn @happilyjessa http://t.co/iUW65FqWuK",0,1
moneyform,"People w shitty jobs are important bc they need constant distraction and ppl like me who entertain, make money off of people like you",0,1
moneyform,"I'm going to be so torn when I go back to work. Like I wanna make money, but I also wanna stay home all day with my baby girl.",0,1
moneyform,Being a distributor you can make money of each product you sell along with 6 other commission bases programs @Lifes_Fruit_org,0,1
chesplayschess,Four LSU football players arrested  #sports,1,0
moneyform,"One it stops the uprising of our ""enemies"" and two we now have a huge supply of oil that we can make money off of. @Khalil_Leo_Alim",0,1
moneyform,"If I'm there to make money , we don't have to get along ! @LouNmr_ @AllenAlmario @raisin_BRENN @2SUSIE1Courtney http://t.co/aaQF2UmkMP",0,1
moneyform,Nah a job yah make money right. A party you waste time just enjoying it. @dee_dTr @heytheremayra @NaimDaGod @malholla http://t.co/1Cvn34ACqP,0,1
